onset,offset,transcript,sub,tier
686.222279,686.396444,(voc),4,CG
687.039513,690.65678,Do you want to come back over here? do you want to keep working on that one?,4,CG
692.719962,695.680762,Can you get the purple one off? You got the red one off,4,CG
697.636765,713.217806,oof oh you left in the whole thing huh. Uh oh. You fell over. Uh oh. Oh yeah. That is the way to get it off. Use two hands and both hands grab the purple one,4,CG
711.435967,715.388166,(voc),4,CG
715.61592,717.250389,[imitates baby],4,CG
718.241788,720.224586,[imitates baby],4,CG
723.06481,724.659087,[imitates baby],4,CG
728.262956,731.424715,(voc),4,CG
732.174963,733.514691,yeah,4,CG
733.755842,735.14916,(voc),4,CG
735.14916,736.207545,ooh,4,CG
737.252534,740.253525,yeah. you are getting a little bit hungry aren't you,4,CG
742.129145,780.344653,"you are getting a little bit hungry. Would you like to look at this? This has all the colors of the rainbow. Red and orange, yellow, green and blue. Does it taste good too? Is it not only colorful but also delicious? Uh oh! I can't get it! Do you like watching it roll? I wonder if we can roll it to the wall and if it would bounce back at all. Should we try? Ready? Ready? Oh, it did not really bounce back at all did it. We will have to go get it",4,CG
746.871783,749.10913,(voc),4,CG
750.855715,751.085335,(other),4,CG
781.452022,783.463743,"Here, here it is ",4,CG
785.401639,787.727115,How about if I roll it to you? Are you ready?,4,CG
799.520597,805.149724,Can you feel it with your toes? Do you feel it with your toes? huh?,4,CG
807.272182,808.545657,yeah? Ready?,4,CG
810.169798,811.830852,"oh, that was a bad roll",4,CG
815.15296,815.928118,can you catch it?,4,CG
825.193108,825.894441,You got it,4,CG
827.592408,828.921251,Are you going to try and eat it again?,4,CG
833.553745,834.052062,Ready?,4,CG
845.808632,849.093827,oh you stopped that with your feet? Good job,4,CG
862.400714,865.187594,"oooh yes, nicely done",4,CG
870.078474,871.905634,[imitates baby],4,CG
878.605218,883.256168,Can you make it rol? You made it roll. Good job,4,CG
885.083328,886.153785,It's far way,4,CG
887.980944,892.059754,I knocked off my microphone. Look at that,4,CG
896.027827,898.002636,There. Hopefully that's good enough,4,CG
899.922076,900.383479,Ready?,4,CG
919.190301,921.774162,oh you stopped it with your toes again,4,CG
785.401639,786.490552,(voc),4,CG
806.552392,806.939971,(voc),4,CG
829.880971,830.139357,(voc),4,CG
841.692909,841.914383,(voc),4,CG
869.561702,870.263036,(voc),4,CG
879.749499,880.026341,(voc),4,CG
924.874796,925.207007,(voc),4,CG
5.916793,6.719386,good job,6,CG
11.796255,12.673508,that is pretty far away,6,CG
15.883882,19.878183,I know you want that do you not. It is pretty far,6,CG
35.7434,40.33498,here buddy can you get it? oh [unintelligible] No,6,CG
50.918013,53.120479,You know this toy. We have this at  home,6,CG
55.378939,58.477322,Here. Can you roll in those big overalls?,6,CG
62.826258,63.964821,good job,6,CG
69.844283,72.476043,Here. You want to sit up? Here,6,CG
79.923362,80.763286,[unintelligible],6,CG
85.168216,85.89615,(other),6,CG
86.568088,86.960053,[yeah],6,CG
88.023955,89.610477,"cool, can you do that agin?",6,CG
91.831607,92.036922,(other),6,CG
92.466216,92.85818,yeah,6,CG
94.668681,94.967321,(other),6,CG
96.311198,96.927142,can you get it?,6,CG
106.446272,107.566169,that is a cool one,6,CG
115.592102,116.320036,where are you headed?,6,CG
119.063785,120.109023,you are gonna roll over there?,6,CG
124.905918,125.708511,can you make it?,6,CG
130.412081,130.636061,(voc),6,CG
134.854342,135.768925,scooch scooch,6,CG
139.987206,149.226362,"Here, you want to see something cool. Look. Who is that baby? Who is that baby? Here is a [unintelligible]",6,CG
141.293753,141.573728,(other),6,CG
151.876786,153.556633,who is that drooly girl?,6,CG
157.625594,158.670832,who is that drooler?,6,CG
159.60408,161.115942,(other),6,CG
170.112453,170.821722,you are going to eat that,6,CG
177.485113,177.821082,other,6,CG
184.372836,184.583596,(other),6,CG
190.421648,190.716711,(other),6,CG
190.948547,192.971843,can not quite get that in your mouth can you,6,CG
194.447163,195.142671,[unintelligible],6,CG
194.447163,194.868683,(voc),6,CG
196.828751,200.411671,come here. You want to play with another toy? here look,6,CG
202.434967,202.898639,[kiss],6,CG
207.198142,210.549226,can you get these off? woops,6,CG
219.148234,220.054502,can you get those off?,6,CG
226.292997,228.147685,okay pull pull pull. Ready?,6,CG
239.5498,240.434992,it's a little tricky,6,CG
253.017363,253.881479,you need to think,6,CG
259.951367,261.553143,can you fit that whole thing in your mouth,6,CG
261.848207,262.332955,[kisses],6,CG
270.004618,270.78443,can you get another one,6,CG
291.544289,292.239797,what do you think?,6,CG
301.59754,303.136088,You are getting strong Tessa,6,CG
312.957503,313.863771,can you get there?,6,CG
317.235931,319.912583,it is kinda hard to crawl around in those overalls is it not,6,CG
323.790567,324.064555,(other),6,CG
325.118355,325.308039,(voc),6,CG
336.372938,336.646926,(other),6,CG
337.742878,337.974714,(voc),6,CG
339.99801,340.41953,(voc),6,CG
340.166618,340.777822,you okay?,6,CG
342.927574,347.037393,"should we get a different toy? Look at these, these are new. What are these?",6,CG
350.704617,351.294745,what is that?,6,CG
355.193805,357.659697,do you want it? Come over here,6,CG
361.495528,366.300856,I know it is tricky is it not. That looks very yummy,6,CG
366.954212,367.54434,(other),6,CG
369.947004,370.663588,(other),6,CG
371.75954,373.255936,"here, come here buddy",6,CG
375.911511,378.419555,"you wanna lay down, or is it might be a little uncomfortable",6,CG
380.974766,382.184919,"Here, here you go",6,CG
383.953604,384.661078,can you get that?,6,CG
387.788858,397.767965,you like this smiley girl the best. Smiley. Hello Tessa. How are you? Ready? Peak-a-boo,6,CG
400.151035,401.91972,where is Tessa? Peak-a-boo,6,CG
404.265555,406.965127,where is Tessa? Peak-a-boo,6,CG
408.808283,409.646082,[laughs],6,CG
410.372173,413.816455,where is Tessa? How are you?,6,CG
416.013348,416.888382,Hi Tessa,6,CG
429.529825,433.77467,"yeah should we chewyou again, ready, where, peak-a-boo  ",6,CG
435.878474,442.878743,"ah ah [unintelligible] to get you on you face, that is a good thing to do. Yummy yummy. Yummy yummy ",6,CG
444.21922,448.817802,oh where is Tessa? Peak-a-boo. Hello,6,CG
454.254181,457.959111,You are getting more steady. This is good I can hold on to you,6,CG
468.385044,469.557961,that a yummy girl,6,CG
481.436078,482.944115,is she saying hi Tessa!,6,CG
485.141008,485.792629,Hi Tessa!,6,CG
493.92858,494.636054,where did she go?,6,CG
509.362684,514.09159,yeah [unintelligible] I know you want to fit that whole thing in your mouth huh,6,CG
518.001315,518.503994,Here,6,CG
524.014844,524.29411,[unintelligible],6,CG
528.24107,529.842196,got it? good job,6,CG
539.393095,539.76545,(voc),6,CG
540.156423,542.89323,yeah. Should we see what else is here,6,CG
544.773621,549.037083,Look Tessa. Tess. Look Tessa ,6,CG
551.829744,555.013377,"What do you think? No, are you happy with what you have?",6,CG
574.524766,579.868057,Hi buddy. Are you getting worn out? take a break,6,CG
588.190186,589.698222,[unintelligible] there you go,6,CG
592.379177,592.919091,hey,6,CG
594.799483,597.852792,you getting a little worn out? too much fun?,6,CG
603.717379,606.100449,ready. Oh my deary,6,CG
606.435569,606.938247,[kiss],6,CG
608.353196,609.414407,How are you doing?,6,CG
609.861232,610.494235,[kiss],6,CG
611.44374,612.59804,you want another toy?,6,CG
617.420034,621.776584,ooh tired girl. Yeah you can nap in the car,6,CG
623.340474,624.904364,you want to see what else is here ,6,CG
627.008169,650.857491,[experimenter comes in to fix microphone],6,CG
650.931962,660.855216,"a ball that your sister won't take away from you. Let us see, yeah that is cool. You need your home ball my dear. Oh it went a far away ",6,CG
662.38187,665.472415,Yay! Your very own ball,6,CG
671.35562,672.193418,uh oh,6,CG
674.557871,675.786641,can you make it there?,6,CG
680.068721,681.055461,"here, roll it",6,CG
682.693822,684.220476,you got it. Good job,6,CG
686.435987,688.092966,that is going to frustrate you is it not,6,CG
695.893798,697.234275,looks good to suck on,6,CG
700.120024,703.992514,where did it go? where did it go?,6,CG
706.356967,707.585737,how are you going to get there?,6,CG
711.867817,712.240172,huh,6,CG
714.269505,716.000955,do you want the ball? Here Tessa,6,CG
718.34679,719.16597,can we get it?,6,CG
721.30701,722.740576,you can get it from there,6,CG
724.732674,725.142264,you want to,6,CG
726.222093,729.647756,"yeah. Here let us sit up, let us sit up",6,CG
731.2675,735.549579,ooh it keeps rolling away. Should we get it again?,6,CG
739.273127,741.432784,should we get it? Where is the ball?,6,CG
742.978057,743.108381,[kiss],6,CG
743.27594,745.789335,"okay. Here, lay down",6,CG
750.51824,755.861531,"oh buddy I know you don't, alright. I know buddy, okay, here we go",6,CG
757.481274,761.819207,you want the face again or you really want the ball? You really want the ball,6,CG
767.739648,768.29818,Here you go,6,CG
771.779697,772.189287,There,6,CG
777.681519,778.33314,yum yum,6,CG
798.347208,798.533386,Here,6,CG
803.076114,804.081471,is that they way?,6,CG
822.513032,827.372261,uh oh. Where did it go? Here it is ,6,CG
832.585228,833.813999,there it is ,6,CG
846.455442,848.242745,can you make it over there? Here,6,CG
850.234843,853.008886,Now that is [unintelligible] we have this at home so we do not care about it ,6,CG
854.907895,855.8574,New toys,6,CG
858.501119,862.485315,Do you want the ball? Here Tessa. Do you want the ball?,6,CG
863.769938,864.049204,yeah,6,CG
869.057376,872.594746,"You know, this is going to be your downfall is it not",6,CG
900.167616,901.433622,You are going to roll over,6,CG
912.213292,914.20539,I think we need to get you a ball do we not,6,CG
926.21383,927.889427,[unintelligible] drooly girl,6,CG
933.62369,934.3684,my goodness,6,CG
937.514797,940.810137,"yeah, maybe we should replace the ball, you think",6,CG
542.576728,542.89323,(voc),6,CG
594.799483,595.264926,(voc),6,CG
714.772184,715.200392,(voc),6,CG
725.42153,727.078509,(voc),6,CG
748.917115,750.369298,(voc),6,CG
751.467745,754.05561,(voc),6,CG
802.238315,802.871319,(other),6,CG
803.858059,804.155942,(other),6,CG
854.312128,854.572776,(voc),6,CG
857.216495,857.42129,(voc),6,CG
863.043847,863.304495,(other),6,CG
867.102513,867.903076,(voc),6,CG
872.780923,873.078807,(voc),6,CG
876.187969,876.392765,(voc),6,CG
883.188239,883.486123,(voc),6,CG
884.305303,884.603187,(voc),6,CG
901.228827,901.545328,(voc),6,CG
905.64123,906.032203,(voc),6,CG
917.5752,917.891702,(voc),6,CG
924.947824,925.245708,(voc),6,CG
935.131727,935.410993,(voc),6,CG
5.260386,9.541253,"want to see toys? yeah, yeah, yeah?",10,CG
9.928223,10.436123,[kisses],10,CG
11.306807,16.25278,[unintelligible] Let us see. Look at what we got! Look at this. [unintelligilbe] this,10,CG
24.064756,27.039595,what is that? what is that?,10,CG
57.102401,57.428908,Here you go,10,CG
83.755025,85.60523,Janie [kisses] here look,10,CG
87.81822,88.096356,look,10,CG
98.000393,98.653407,do you want this one?,10,CG
102.619859,108.146288,look at that! what is it doing? what is it doing?,10,CG
110.637413,112.173204,this one did not do anything,10,CG
126.176716,129.840847,Look! Janie [clucks] No,10,CG
140.676034,144.848064,"[clucks] Janie, look. [kisses] Hey. No",10,CG
148.971723,152.527019,"Look, what is this? what is that?",10,CG
158.041355,158.561347,what is this?,10,CG
170.533261,172.250445,"Janie, Janie look",10,CG
174.245764,174.415063,Hey,10,CG
179.494057,179.905214,Let me see,10,CG
181.610304,184.343287,Janie. Oh goodness,10,CG
187.318126,188.829731,Here look [unintelligible],10,CG
190.305058,190.873422,Look at this,10,CG
194.537553,196.581243,Get it. go get it,10,CG
200.52351,203.196028,Go get it. You want it? ,10,CG
205.009954,205.989474,"Here, come on",10,CG
211.975431,212.289845,Get it,10,CG
217.151168,218.686959,Get it! You want it?,10,CG
221.190177,221.589241,Come on,10,CG
234.274632,235.012296,[kisses],10,CG
235.616938,237.28575,"Hey, what are you doing?",10,CG
239.015026,246.13771,Hey. [kisses] what are you doing? what are you doing? what are you doing?,10,CG
247.189788,249.741377,[imitates baby],10,CG
251.398097,252.099482,[kisses],10,CG
252.546917,256.598019,"what are you doing? Look, look, look",10,CG
259.838901,261.761663,"Cool, is it cool? Look",10,CG
265.945786,268.872254,"Janie, here. Want this?",10,CG
271.121523,274.543797,"Look at that, you want this? No",10,CG
289.164043,289.4059,Hey,10,CG
289.804964,290.675648,[kisses],10,CG
291.582612,294.267223,"Janie, look, look. What is it?",10,CG
311.620451,312.333929,Look at this,10,CG
336.918677,343.170676,"Okay. Do you want this? Janie, Janie. No?",10,CG
351.817059,352.20403,Come here,10,CG
354.344463,355.190962,do you see this?,10,CG
361.47924,362.03551,Here you go,10,CG
381.347779,386.257473,This one? There you go. Good girl. It is cool,10,CG
408.653417,408.798531,[kiss],10,CG
432.512595,436.866018,"Here, do you want this one? You wan this one?",10,CG
438.95808,440.155271,Come get it. Come on,10,CG
476.929604,483.834617,What are you doing? Look! Over here. Look! What is it? What is it?,10,CG
515.239728,522.241484,"What are you doing? What is that? What is it? Look, Janie, look. Ooo you did not even see it",10,CG
523.487047,524.998652,Come here. oh gosh,10,CG
526.607,536.22081,Here look. Look Janie. Janie! [kisses] look what I got! Look! Janie! [kisses]  ,10,CG
539.377041,542.194674,What is that? What is that?,10,CG
543.887672,544.576964,There it goes,10,CG
546.209497,548.60388,You want it? Do you want it? Come on,10,CG
554.17868,556.911663,Good job. Good girl,10,CG
558.931167,559.693016,There,10,CG
578.582036,582.681509,Look! Janie. Janie! [kisses] Look!,10,CG
584.688921,587.446089,What are you doing? Here let me see,10,CG
589.296294,591.001385,[unintelliglbe] let me see,10,CG
594.846909,599.804974,Does that taste good? Does it taste good? Yeah? Here ,10,CG
621.378604,622.309753,Hey look,10,CG
623.760894,626.276206,[unintelligible] Janie [kisses],10,CG
627.243633,631.149621,what? what is it? Look. Look,10,CG
638.381141,638.780204,Here you go ,10,CG
642.952235,644.71779,(voc),10,CG
645.927074,646.616366,what is the matter?,10,CG
648.950285,649.216327,No?,10,CG
654.113928,656.472033,oh there you go. There you go,10,CG
657.330624,657.886895,sit here?,10,CG
659.338036,664.876558,Yeah? Here it is. Do you want it? Want this one?,10,CG
665.275622,665.843985,[kisses],10,CG
666.533277,668.988124,oooo. Where did it go> Janie,10,CG
669.217888,669.979737,[kisses],10,CG
671.866221,675.361052,"look, look. Where is it going? Where is it going?",10,CG
678.517284,688.300393,"Where did it go? Can you get it? Can you get it? Good girl. oops, there it goes. Uh oh, uh oh, uh oh. Here, oh. There you go, there you go ",10,CG
689.473399,690.972911,Good job. Got it?,10,CG
695.169128,697.938389,"No, do not like that one huh. How about this one?",10,CG
701.022063,701.542056,want this one?,10,CG
703.549467,704.250852,Janie,10,CG
715.581845,718.205992,What are you doing? Want to chew on your fingers,10,CG
721.531524,724.216135,Here. Want this? Do you want this?,10,CG
728.654208,728.908157,No?,10,CG
730.274649,730.782548,okay,10,CG
733.152745,744.374903,Stand up. There you go. Cool. Good job. How about this? You want this? Yeah?,10,CG
746.4065,747.603692,There you go,10,CG
778.404161,779.202288,good job,10,CG
784.087797,789.831897,Look! I got the little bug. Look there is the little bug. Janie! Do you want to see the little bug?,10,CG
794.318341,795.890411,Look. This one?,10,CG
812.457604,815.251051,[kisses]what are you doing? what are you doing?,10,CG
820.160745,822.663963,look. Do you want this?,10,CG
824.598818,826.316002,Do you want this? Yeah?,10,CG
832.773579,834.031235,What? Do you want this?,10,CG
840.488813,841.105548,You want to sit up?,10,CG
858.615983,858.978768,This one?,10,CG
860.81688,861.530358,Do you want this?,10,CG
871.144168,872.861351,Where is it going? Where did it go?,10,CG
879.572879,883.176546,"Do you want this one? Yeah, there you go",10,CG
886.090921,887.070441,Look at that little bug,10,CG
890.295563,891.163116,do you taste good?,10,CG
27.813537,27.982837,(other),10,CG
29.083286,29.300957,(other),10,CG
132.247322,132.489179,(other),10,CG
136.117032,136.334703,(other),10,CG
139.503028,139.865813,(voc),10,CG
204.502055,204.743912,(other),10,CG
215.433984,215.796769,(voc),10,CG
246.379567,246.597238,(other),10,CG
269.247132,269.404339,(other),10,CG
280.553939,280.759518,(other),10,CG
350.873817,351.151952,(other),10,CG
417.287706,417.880256,(other),10,CG
418.400248,418.581641,(voc),10,CG
429.211249,429.610313,(voc),10,CG
431.907953,432.282831,(other),10,CG
446.141228,446.310528,(voc),10,CG
459.769861,460.132646,(other),10,CG
465.610704,465.852561,(other),10,CG
468.222758,468.464615,(other),10,CG
600.566823,601.522158,(other),10,CG
602.380749,602.985391,(other),10,CG
609.007627,611.547124,(other),10,CG
617.533081,617.87168,(voc),10,CG
626.469691,626.796198,(voc),10,CG
629.638016,629.795223,(other),10,CG
634.281667,634.54771,(voc),10,CG
646.870316,647.039616,(voc),10,CG
648.115879,648.406107,(voc),10,CG
650.050733,650.20794,(voc),10,CG
651.211646,651.417225,(voc),10,CG
652.360466,653.6544,(voc),10,CG
656.810632,657.705503,(voc),10,CG
658.479444,659.301758,(voc),10,CG
684.309755,687.079016,(voc),10,CG
694.7096,694.939364,(voc),10,CG
729.355593,729.754656,(voc),10,CG
743.165618,743.419568,(other),10,CG
768.536401,768.802444,(voc),10,CG
776.033964,776.541863,(other),10,CG
802.202874,803.424251,(voc),10,CG
819.011925,819.677031,(voc),10,CG
822.301178,824.115104,(voc),10,CG
825.324388,825.711359,(voc),10,CG
829.919669,831.443367,(voc),10,CG
833.777285,834.527041,(other),10,CG
834.950291,835.978182,(voc),10,CG
837.018167,838.626515,(voc),10,CG
845.809663,846.39012,(voc),10,CG
855.375101,858.313662,(voc),10,CG
865.158211,865.823317,(voc),10,CG
888.932265,890.202611,(voc),10,CG
899.683729,900.396362,(voc),10,CG
31.16319,31.732853,(voc),11,CG
31.940004,34.516437,yeah. You are going to try to eat it? ,11,CG
35.785233,35.927649,(other),11,CG
36.5491,37.494224,you are going to try to eat it?,11,CG
37.830843,38.063888,(voc),11,CG
39.009011,39.721091,[laughs],11,CG
42.685931,47.553966,"yes, that looks good. You have got it",11,CG
51.217939,53.418912,what are you going to do with it? huh?,11,CG
54.415823,54.674761,(voc),11,CG
56.746265,58.597672,what do you have to tell me? huh?,11,CG
60.267822,60.462026,(voc),11,CG
61.433043,75.169705,[laughs] [duck noises],11,CG
64.708609,65.809096,(voc),11,CG
73.991537,74.224581,(voc),11,CG
76.516182,77.69435,(voc),11,CG
79.70112,80.141314,(voc),11,CG
80.529722,82.484703,[laughs] really? what else?,11,CG
82.407022,82.730695,(voc),11,CG
83.339199,83.701712,[laughs],11,CG
83.494562,83.857075,(voc),11,CG
84.543261,84.944615,(voc),11,CG
84.931668,87.482207,[duck noises],11,CG
88.375543,88.699216,yeah?,11,CG
91.443959,94.046286,having a jump? want to do it again?,11,CG
96.027161,100.985824,"one, two, three. Blast off!",11,CG
102.500612,107.964204,Okay what else should we look at? want to see something else? want to see something else?,11,CG
113.699681,117.208291,I think you might like this,11,CG
119.797671,120.419122,what about that?,11,CG
128.938183,134.311146,"Is that a, is that a circle? is that like a bagel? Bagel!",11,CG
136.952314,138.130482,would you like to have a bagel?,11,CG
138.350579,140.77165,(voc),11,CG
140.150199,140.590393,okay,11,CG
144.332047,147.814764,I will have a bagel too [eating noises] here do you want a bagel?,11,CG
151.051489,151.245692,Here,11,CG
152.410913,152.96763,(voc),11,CG
158.120497,160.658089,[chewing noises],11,CG
161.44785,164.076071,I am having a bagel. Do you want a bagel?,11,CG
174.058131,177.968095,"throw, throw. Want this?",11,CG
179.741821,180.194962,what is that?,11,CG
190.215863,190.500695,(other),11,CG
201.997543,202.230587,(other),11,CG
206.451276,208.962975,ooh you want to look at over here? what is over here?,11,CG
210.568391,227.567671,do you think you might be able to see your own self in the mirror? what is this? who is that? Who is that in there? I see you. I see Anya. Look! Who is that? Who is it?,11,CG
239.582395,240.618147,are you eating the sun?,11,CG
241.123076,241.977572,(other),11,CG
242.119987,242.340085,hm?,11,CG
244.722314,247.984933,are you eating the sun? has it got some hair on it for you?,11,CG
248.360393,248.671119,(other),11,CG
249.434986,252.490455,who is that in here? who is it?,11,CG
259.106321,259.650091,(voc),11,CG
264.569913,265.437355,(voc),11,CG
266.317745,267.249921,what is over here?,11,CG
267.055718,267.353497,(voc),11,CG
268.026735,274.111779,(voc),11,CG
268.609346,270.771478,ooh different things,11,CG
274.18946,276.19623,you want this? a bagel?,11,CG
276.545796,276.830628,(other),11,CG
283.433547,288.741776,oh no! we are going to have to clean that up for the next baby,11,CG
289.324387,289.971732,[unintelligilbe],11,CG
295.279961,301.106066,(voc),11,CG
301.831093,306.245986,are you getting frustrated? that looks like something you like though,11,CG
307.165216,308.123286,How about bagels?,11,CG
310.285419,311.424746,How about bagels? Look.,11,CG
313.548038,315.606595,Do you want to go get them? Do you want to get them?,11,CG
316.953073,321.704585,That looks like a big stack of bagels,11,CG
322.52024,323.685461,Look Anya look,11,CG
324.073868,325.731071,[clucking noises],11,CG
327.207018,330.158911,"wow, can this go up too?",11,CG
332.644716,334.042981,Wow!,11,CG
336.088592,337.26676,"Look, look!",11,CG
339.260582,339.882034,Can you see?,11,CG
344.568812,348.142156,"oooh, boom. Boom",11,CG
354.900438,355.107589,(other),11,CG
361.581039,362.008287,Look,11,CG
365.555737,366.345498,(voc),11,CG
367.484826,372.961365,(voc),11,CG
373.427453,373.841754,Really?,11,CG
384.924301,390.40084,That makes a neat sound. What can we do over here? Can we sit up so you can see?,11,CG
393.805874,395.178246,(other),11,CG
397.521635,400.149856,(other),11,CG
405.807651,407.438961,(other),11,CG
408.474713,408.837226,(other),11,CG
409.834137,410.313173,(voc),11,CG
