onset,offset,transcript,sub,tier
453.564262,457.101865,"Oh, good job, you got it. All on your own this time",4,CG
459.076623,459.609686,You dropped it,4,CG
460.942345,463.510741,(voc),4,CG
463.934769,468.06601,"Yup, those are outlets. You can not play with them here just like you can not play with them at home",4,CG
476.897901,484.227523,"Those are not, those are not for playing with. Remember, we do not play with outlets. We do not play with outlets. Remember?",4,CG
484.966543,485.233074,(voc),4,CG
485.923634,488.576836,"You can play with toys, but not with the outlet",4,CG
490.09122,491.702526,"Ooh, here is one you have not seen yet",4,CG
494.67072,495.143208,(voc),4,CG
495.4582,498.244667,"Thank you, do you know what it is? It is a butterfly",4,CG
500.425381,500.897869,[kiss],4,CG
502.812052,503.708567,[kiss],4,CG
503.793373,505.840821,"oh you want it, do you want to eat the butterfly",4,CG
507.98519,510.044753,(voc),4,CG
508.08211,508.86959,Does it taste good?,4,CG
519.337017,520.318338,(voc),4,CG
522.717123,524.049782,We are not going to play with the outlet,4,CG
525.394556,526.497028,(voc),4,CG
526.133575,531.197678,"I did not see how much you want to, but it is not a toy. And it could be dangerous",4,CG
533.305701,534.117411,You can play with this,4,CG
536.128514,537.400597,Look at this crazy cat,4,CG
542.852382,543.32487,[kiss],4,CG
544.548493,545.008866,[kiss],4,CG
550.860448,551.975035,[kisses],4,CG
552.944241,554.931114,"Hello Sadie, how are you?",4,CG
574.593884,575.41771,What is this part?,4,CG
580.857379,581.487363,woah,4,CG
590.004263,590.622132,(voc),4,CG
591.579223,591.8821,(voc),4,CG
593.045147,593.541865,(voc),4,CG
595.116825,596.267758,[abababa],4,CG
601.101673,602.09511,(voc),4,CG
602.567598,603.306617,[aba],4,CG
602.90682,603.258157,(voc),4,CG
606.77153,607.365168,(voc),4,CG
609.630688,610.672584,That is the outlet,4,CG
615.021897,618.53527,(voc),4,CG
620.122345,621.854801,(voc),4,CG
621.673075,622.739201,[imitates baby],4,CG
623.575142,627.791189,"oooh, oooh. What are you going to do huh?",4,CG
626.725062,626.991593,(voc),4,CG
627.900224,629.996133,(voc),4,CG
629.729601,633.47316,Are you going to be able to walk all over? They have a nice rail along the wall,4,CG
635.181386,635.581183,(voc),4,CG
638.210155,641.202579,(voc),4,CG
643.140991,644.691721,babababa,4,CG
647.175312,647.55088,(voc),4,CG
647.890102,650.834066,No. We are not going to play with the outlet,4,CG
651.51251,654.020331,(voc),4,CG
654.347438,656.891604,"I know that you would like to, but it is not safe",4,CG
667.21365,672.059681,"Sadie. What does an elephant say, what does an elephant say",4,CG
672.520054,673.767907,[animal noises],4,CG
674.785573,678.783549,(voc),4,CG
680.091977,680.661386,(voc),4,CG
682.430187,686.634119,(voc),4,CG
688.536186,689.796154,We are not going to play with the outlet,4,CG
691.916293,692.29186,(voc),4,CG
694.70276,695.732542,(voc),4,CG
695.957787,702.355703,"We are not going to play with the outlet. Do you want to come back over here and look at the ball some more? Come on, let us go back this way.",4,CG
704.726197,706.346841,Let us go explore somewhere else,4,CG
707.725598,709.878394,"ooh you kicked that, I did not hear the noise ",4,CG
713.192248,713.422041,(voc),4,CG
717.667161,720.557713,[gasp] good throw. Let us go get it,4,CG
721.343846,721.585733,(voc),4,CG
731.394258,731.865938,(voc),4,CG
736.873003,737.187456,(voc),4,CG
739.763555,740.041725,(voc),4,CG
742.944371,743.186258,(voc),4,CG
744.057052,744.794808,What is this?,4,CG
746.27032,746.645245,(voc),4,CG
750.140515,753.696256,Woah! Woah!,4,CG
762.041364,762.537233,They stick,4,CG
765.959936,769.261696,"This is a hard thing to walk over huh, your feet keep getting caught",4,CG
770.108301,770.918623,Would you like to get up,4,CG
773.579382,773.857552,(voc),4,CG
775.163743,775.720084,Good job,4,CG
776.022443,776.530406,(voc),4,CG
784.815042,785.262533,(voc),4,CG
785.564892,789.991427,That is a kangaroo. In fact it is Kanga and her baby Roo,4,CG
791.527411,792.470771,(voc),4,CG
797.066627,798.953347,(voc),4,CG
800.731218,802.025314,(voc),4,CG
802.992863,803.258939,(voc),4,CG
803.839468,804.516752,What do you see?,4,CG
805.097281,805.31498,(voc),4,CG
805.411735,806.838869,Do you see honey on the wall?,4,CG
808.907004,810.878385,You have never gotten to eat honey before,4,CG
812.087821,813.914069,(voc),4,CG
814.301089,817.808453,"Oh no, you see your jacket, and your hat",4,CG
820.432929,820.711099,(voc),4,CG
820.916703,821.787497,Is that your hat?,4,CG
825.839107,826.443825,(voc),4,CG
829.334377,830.434963,Is your hat a fun toy?,4,CG
832.551476,833.385987,(voc),4,CG
833.664157,834.08746,a hat? ,4,CG
834.680083,836.965917,Do you want to put it on? Do you want to wear your hat?,4,CG
838.356768,838.840543,There you go,4,CG
839.880658,840.243488,(voc),4,CG
840.436998,842.226963,[laughs] thank you,4,CG
841.706906,842.057642,(voc),4,CG
843.460588,844.089494,(voc),4,CG
843.787135,845.153798,"Oh yes, there it is",4,CG
845.96412,846.193913,(voc),4,CG
846.580932,848.141105,Yeah what is that? I have a belt on,4,CG
849.73756,851.019562,(voc),4,CG
851.696846,852.712772,Would you like me to pick you up?,4,CG
853.922208,855.506569,or do you want to walk around?,4,CG
861.940768,862.968789,Can I switch hands?,4,CG
863.331619,864.758754,oh off with the hat,4,CG
865.798869,866.028661,(voc),4,CG
866.984116,868.13308,you can put it on the floor,4,CG
871.979086,873.684391,(voc),4,CG
874.07141,874.833355,do you see a ball?,4,CG
876.066979,878.618889,Do you want to go get the ball? Go get the ball,4,CG
880.20325,880.372571,(voc),4,CG
880.795874,883.601765,Can you go get the ball? Go get it,4,CG
885.234503,888.645113,Go get the ball. You can do it. Go get it,4,CG
888.173433,888.560452,(voc),4,CG
891.05189,892.225043,"oh, you are going to get this right",4,CG
893.071648,893.398196,(voc),4,CG
893.96663,894.619726,Where is the ball?,4,CG
895.224444,896.869277,"Go get it, go get it",4,CG
898.260128,903.085777,Go get it. Yay! Good job,4,CG
908.213785,908.528239,(voc),4,CG
909.024107,910.052128,Thank you,4,CG
910.995488,916.268628,bounce [x11],4,CG
919.933219,920.453276,(voc),4,CG
920.731447,921.263598,[aba],4,CG
929.016082,932.789522,"good job, good standing. Oh you want to kick it? Want to play a little soccer?",4,CG
933.624033,935.026979,"Here, let me get on the other side",4,CG
936.949982,937.578889,Or not,4,CG
938.860891,939.52608,(voc),4,CG
941.122536,941.957046,(voc),4,CG
952.321912,953.59182,(voc),4,CG
955.164086,957.861128,What is over there? Is there another ball over there?,4,CG
961.308021,962.323947,Should we go over that way?,4,CG
963.872025,964.500931,(voc),4,CG
964.71863,965.613612,oh yes,4,CG
966.714199,974.103852,"aha, there is another ball is there not. That one is maybe even more fun than the other one. Yeah",4,CG
977.671688,978.20384,Good throw,4,CG
980.658995,981.904714,ooh good kick,4,CG
982.146601,982.364299,(voc),4,CG
985.303229,985.847475,(voc),4,CG
992.209108,993.164562,(voc),4,CG
995.583434,996.514699,[unintelligible],4,CG
1005.573374,1006.613489,Want me to pick you up?,4,CG
1009.733834,1010.459495,[kiss],4,CG
1010.761854,1013.301669,(voc),4,CG
1014.015237,1015.127918,Do you want to go see piglet?,4,CG
1016.567146,1017.450035,It is piglet,4,CG
1018.417583,1022.420816,Do you remember what pigs say? [animal noises],4,CG
1027.754428,1029.217846,Do you want to go see kangaroo again?,4,CG
1033.269456,1039.473862,"Look, what are those? Bees? [buzzing noises]",4,CG
1041.795979,1043.150547,oh what did you find?,4,CG
1043.718982,1044.009247,(voc),4,CG
1044.626059,1049.536369,[buzzing noises],4,CG
1046.609534,1047.057025,(voc),4,CG
1051.785919,1052.136656,(voc),4,CG
1052.572053,1055.958473,It is a bee [buzzing noises],4,CG
1057.155815,1057.821004,[laughs],4,CG
1063.094145,1064.593845,(voc),4,CG
1065.63396,1068.18587,(voc),4,CG
1069.359023,1070.701497,[babababa,4,CG
1100.647129,1101.409074,What do you have there?,4,CG
1108.968048,1109.30669,(voc),4,CG
1112.221431,1112.681016,whoops,4,CG
1114.845907,1115.196643,(voc),4,CG
1115.414341,1116.962419,It is stuck to the carpet huh,4,CG
1118.220233,1119.260348,Oh good job you got it,4,CG
1120.917275,1123.880393,That velcro is sticky. Is it a hat?,4,CG
1126.20251,1132.382727,Is it a hat? Oh is it a hat for me. Does it go like this? is it a hat for me?,4,CG
1134.753221,1135.200713,(voc),4,CG
1135.261184,1135.938468,[laughs],4,CG
1137.051149,1143.787707,"No, it is not a hat. Is it stuck in my hair though? [gasp] Thank you",4,CG
1147.911884,1155.749028,"Sadie, is it a hat for Sadie, is it a hat for Sadie? Should we see? Can I put it up? Is it a hat?",4,CG
1159.050788,1162.400926,"No it is not a hat, silly mommy",4,CG
1163.114493,1163.320097,(voc),4,CG
1164.178796,1166.295309,(voc),4,CG
1165.872007,1167.287047,Ooh it is a snack,4,CG
1178.401762,1179.635387,(voc),4,CG
1179.877274,1180.723879,oh thank you,4,CG
1181.159276,1181.376975,(voc),4,CG
1182.30824,1183.154845,what should I do with it?,4,CG
1184.098205,1190.157479,(voc),4,CG
1195.23711,1195.999055,How does it taste?,4,CG
1205.057729,1205.456843,[kiss],4,CG
1210.899305,1212.338533,is the velcro the best part?,4,CG
1215.749143,1216.390144,Seems like it,4,CG
1220.986,1225.146459,"Oh thank you. You are right, it is delicious ",4,CG
1241.219862,1241.46175,(other),4,CG
1255.527489,1257.716568,Sadie did you know that sometimes you are a silly girl,4,CG
1263.570238,1265.747222,Doing a great job of standing right not though,4,CG
1269.689983,1270.222135,I got you,4,CG
1272.580535,1273.064309,(voc),4,CG
1276.934504,1278.14394,(voc),4,CG
1279.147772,1282.074607,(voc),4,CG
1284.445101,1287.154237,(voc),4,CG
1288.617655,1291.35098,[imitates baby],4,CG
1293.092568,1294.749495,(voc),4,CG
1295.039759,1295.644477,That is right,4,CG
1301.425581,1303.711415,(voc),4,CG
1303.880736,1305.561852,[gasp] Is there a tiger over there?,4,CG
1312.370976,1312.733806,(voc),4,CG
1313.592506,1314.124658,Where to sit?,4,CG
1319.047062,1328.795115,(voc),4,CG
1334.479464,1334.975332,(voc),4,CG
1335.785654,1338.240809,Are there lights up there? Do you see a light?,4,CG
1341.082984,1342.195665,Lights are on,4,CG
1347.09388,1349.246676,Do you like the noises that that makes when you chew on it?,4,CG
1353.141059,1353.685306,(voc),4,CG
1358.777031,1360.421863,(voc),4,CG
1370.593219,1370.931861,(voc),4,CG
1376.870192,1377.474909,(voc),4,CG
1377.886118,1380.462216,"Oh yes? Oh, is that for me?",4,CG
1381.103217,1381.599086,(voc),4,CG
1382.179615,1383.957486,"Oh you wanted it, I am sorry",4,CG
1399.716435,1401.470117,(voc),4,CG
1401.578967,1401.929703,[grunt],4,CG
1402.897252,1404.783972,(voc),4,CG
1405.146803,1405.763615,Can you get it?,4,CG
1408.291336,1408.787205,(voc),4,CG
1409.089564,1409.887791,Good job,4,CG
1413.286306,1413.891024,Oh,4,CG
1417.083935,1422.139377,"Look Sadie, do you see what it is? Elephant. What does an elephant say?",4,CG
1422.792472,1424.364739,[animal noises],4,CG
1425.416948,1428.355877,Do you see the elephant? What does an elephant say?,4,CG
1430.629617,1431.282712,(voc),4,CG
1431.476222,1431.839053,[aba],4,CG
1432.55262,1432.842884,(voc),4,CG
1436.459098,1436.979155,(voc),4,CG
1437.54759,1441.200086,"Look, there is the elephant. What does an elephant say Sadie?",4,CG
1442.469994,1443.751996,[animal noises],4,CG
1445.868509,1446.884435,Good job,4,CG
1447.827795,1448.142248,(voc),4,CG
1449.436345,1450.936045,(voc),4,CG
1451.758462,1452.810671,[babababa],4,CG
1453.088841,1454.467598,(voc),4,CG
1454.794146,1455.265826,[baba],4,CG
1455.894732,1457.708886,shake [x7],4,CG
1465.860484,1466.682901,It is an elephant,4,CG
1469.15015,1469.416226,(voc),4,CG
1470.287019,1472.270494,"Oh you got a, you got a block too",4,CG
1473.105005,1474.507951,Yours has a giraffe on it,4,CG
1481.849227,1482.151586,(voc),4,CG
1483.131229,1483.38521,(voc),4,CG
1483.905268,1485.985497,Is that your favorite little thing to chew on?,4,CG
1487.63033,1489.32354,You are doing a great job standing,4,CG
1490.666014,1491.307015,(voc),4,CG
1492.697866,1493.145358,(voc),4,CG
1494.306416,1495.019983,(voc),4,CG
1495.419097,1495.999626,[baba],4,CG
1497.172779,1497.801686,Boom,4,CG
1505.263905,1506.618474,(voc),4,CG
1506.678945,1508.529382,We can get it. I know you can,4,CG
1509.32761,1510.367725,(voc),4,CG
1512.000463,1512.82288,Shake shake shake,4,CG
1514.201637,1516.076262,(other),4,CG
1516.306055,1518.5677,Are you having a little trouble moving it in [unintelligible]  ,4,CG
1519.390116,1519.632004,(other),4,CG
1520.865628,1522.06297,oh you got both of them,4,CG
1528.158527,1529.452623,Does your hand fit inside?,4,CG
1532.43993,1534.096857,Your hand fits inside,4,CG
1545.973517,1551.295035,Where is Sadie's hand? Where did Sadie's hand go? There it is!,4,CG
1552.274678,1552.577037,(voc),4,CG
1553.592963,1553.798567,(voc),4,CG
1563.074941,1565.530096,Shake [x8],4,CG
1593.250366,1594.217915,(voc),4,CG
1595.270124,1596.249767,(voc),4,CG
1599.297546,1600.676302,(voc),4,CG
1601.353587,1610.557394,"Oh, remember this? Ready? One, two, squish! One, two, three, squish! One, two, three, squish!",4,CG
1611.65798,1612.71019,"Yeah, do you want to try?",4,CG
1615.34676,1625.191568,"Squish! Good job. One, two, three, squish! Squish, squish, squish. Squish, squish, squish. Squish",4,CG
1627.513685,1630.283293,Squish [x5],4,CG
1630.428425,1630.730784,(voc),4,CG
1632.60541,1633.972072,(voc),4,CG
1634.987999,1636.536077,Oh thank you. Is that for me?,4,CG
1642.099482,1642.619539,(voc),4,CG
1645.558468,1646.610677,Would you rather have a cup?,4,CG
1647.239584,1649.912437,(voc),4,CG
1650.589722,1652.234554,Here. Give me your hand and I will help you sit up,4,CG
1653.020688,1653.903576,(voc),4,CG
1654.278501,1655.221861,Would you like to stand?,4,CG
1660.023321,1660.99087,What do you want to see? What is over there? ,4,CG
1662.575231,1662.865496,(voc),4,CG
1663.421836,1664.836876,Let us go see what you find,4,CG
1665.610915,1665.913274,(voc),4,CG
1670.593791,1671.779038,(voc),4,CG
1674.609118,1675.05661,(voc),4,CG
1677.100556,1677.269877,(voc),4,CG
1679.059842,1679.338013,(voc),4,CG
1679.567805,1680.438599,It is your hat,4,CG
1687.477516,1688.227366,Woah,4,CG
1693.694017,1694.335018,You dropped it,4,CG
1697.927042,1698.713175,(voc),4,CG
1700.176593,1700.430574,(voc),4,CG
1701.08367,1702.22054,Is that your jacket?,4,CG
1704.566845,1707.699284,Is that your jacket? It is,4,CG
1721.269155,1725.562652,(voc),4,CG
1741.986792,1745.445778,Is that the door? that the door?,4,CG
1748.505651,1749.4732,(voc),4,CG
1751.819505,1752.883809,(voc),4,CG
1755.302681,1755.592945,(voc),4,CG
1756.004153,1757.57642,Yeah that is the door,4,CG
1760.890274,1761.144256,(voc),4,CG
1761.277294,1761.833634,I have got you,4,CG
1763.454279,1764.192034,(other),4,CG
1768.727419,1772.258972,What is that? What is that interesting thing huh?,4,CG
1773.117671,1773.456313,(voc),4,CG
1773.540974,1775.343033,Do you want to go see? Here I will help you,4,CG
1779.043907,1779.249511,(voc),4,CG
1780.168682,1780.507325,(voc),4,CG
1781.644194,1782.079591,(voc),4,CG
1782.152157,1783.458348,I do not even know what it is called,4,CG
1785.949786,1788.04211,(voc),4,CG
1794.814951,1795.468046,Are you alright?,4,CG
1799.265675,1799.568034,(voc),4,CG
1804.055041,1804.333212,(voc),4,CG
1443.413354,1445.626622,(voc),4,CG
1517.878322,1518.120209,(other),4,CG
1658.088224,1661.837475,(voc),4,CG
1663.675818,1663.941894,(voc),4,CG
605.975528,609.058895,what is that it looks like a big cup,6,CG
611.069787,612.356757,is it a cup,6,CG
619.91771,621.4728,yep that is a big one,6,CG
630.508407,632.894665,fun with shakey shake it is a rattle,6,CG
636.21934,636.51427,oop,6,CG
639.195459,640.187499,What is this one,6,CG
652.065167,660.537724,Should we roll it roll yeah hmm what what are you doing,6,CG
666.141409,683.649573,Can you make noise can you go oh ya ya ya yeah hm uh-oh uh-oh what is that that is a kangaroo yeah you want to go say hi,6,CG
688.877892,692.846051,(hi kangaroo it is hard to crawl on those isnt it),6,CG
696.036666,696.894647,(hi),6,CG
700.728747,703.919362,(There are a lot of lights arent there yeah you looking at the lights,6,CG
707.967957,709.415799,Hi kangaroo,6,CG
713.571642,715.877465,Hm what you going to do now,6,CG
727.86238,729.471093,You want to come you want to play more,6,CG
733.479471,737.890027,Hey [name] did you see who is over here [namex2] look look,6,CG
740.12882,749.392328,[name] look it is a pig a pink pig look over there you see and a balloon now you want to see the,6,CG
751.818804,752.569537,Kangaroo,6,CG
756.122112,758.387717,Hm where you going,6,CG
762.583777,763.549006,What should we play with,6,CG
770.292196,774.300573,Hmm what you what do you think crazy lady,6,CG
779.448456,781.767685,Here should we put them on top,6,CG
787.921014,792.237728,Woah they all fall down should I do it again,6,CG
794.208402,802.131315,You want to put it on should we put it on top oh look [name] I did not realize this look peekaboo peekaboo,6,CG
811.488665,815.483637,How did he pop out how do we get him to come out,6,CG
817.507934,819.103242,Yeah can we figure it out,6,CG
824.184095,829.479443,[peekaboo] yeah [peekaboo],6,CG
838.01903,839.225565,[peekaboo],6,CG
848.931469,850.258658,[peekaboo],6,CG
851.813748,852.778976,Hi crazy lady,6,CG
861.479434,862.377632,Where should we look,6,CG
864.562801,865.863178,You want to walk over here,6,CG
872.713616,879.51043,[imitates baby],6,CG
896.576198,898.117882,Are you blowing bubbles,6,CG
901.42915,902.742933,What should we play with now,6,CG
905.142597,906.630657,Should we play with more toys,6,CG
908.681766,909.311846,Yeah,6,CG
920.197473,926.913852,I see you hey [name] do you want to play with some rings [kiss noises] yeah,6,CG
933.013557,947.290888,Should we say should we put him back where did he go where is he peekaboo where did he go where is he peekaboo there he is ,6,CG
954.771406,955.602574,That is a bear,6,CG
959.222179,960.026536,Yeah a bear,6,CG
962.975844,963.324398,Yeah,6,CG
982.226781,990.042447,Ok watch out danger baby what do you want do you want the starfish do you want this do you want this,6,CG
997.261548,1007.698077,Yeah yeah you have got it oh look [name] a butterfly butterfly butterfly,6,CG
1011.237246,1011.853919,Yeah,6,CG
1014.789821,1020.152199,Can you get it woops that was a little too far [###] right off your feet,6,CG
1034.509967,1035.37465,Should we put this inside,6,CG
1046.769703,1074.613851,Should I roll the ball to you are you mostly just ready lets roll the ball ok ready here it comes one two three [play noises] good job yay you want to roll the ball again yeah you want to roll it again want to give it to me and I will roll it to you again ready here we go,6,CG
1075.512049,1089.481044,one two three [play noises] did you get it yeah again do you want more more more,6,CG
1092.597926,1108.557704,Yeah should we thank you here lets go like this ready one two here it comes three [play noises] did you get it you got it,6,CG
1111.218784,1112.706844,Uh-oh boom,6,CG
1115.87735,1116.326449,[laugh],6,CG
1129.718988,1130.811573,You are just going to lay around,6,CG
1132.882791,1143.600844,Yeah you just going to hang out are you sleepy [name] are you going to take a nap good night night night [name],6,CG
1145.323508,1148.674995,[play noises] [laughs],6,CG
1149.667034,1153.903313,Sweet dreams night night ah sleepy,6,CG
1155.290828,1159.078008,[wakey x9] [laughs],6,CG
1165.834604,1172.128695,Where are you headed now should we put her up here to say hi to you oops I guess she does not stick there,6,CG
1173.951904,1177.377123,[laughs] can you get over,6,CG
1194.509921,1195.106485,What do you see,6,CG
1215.791858,1218.553483,You want me to get the other one it is too far isnt it yeah there you go,6,CG
1226.784733,1241.356996,Should we get the big ball [name] look [name] here is the big ball want it one two three [gasp] here it comes,6,CG
1244.018076,1257.564783,Not so sure about that one huh not so sure not so sure should I spin it ready here we go spin,6,CG
1260.239269,1260.916269,Should I do it again,6,CG
1263.309231,1267.686272,[spin x2],6,CG
1271.386312,1271.868926,Yeah,6,CG
1278.833315,1279.490206,What do you think,6,CG
1282.178098,1282.553465,Yeah,6,CG
1285.904951,1292.822419,Yeah it is is that sticking to the carpet [uh-oh x2],6,CG
1294.960667,1298.466321,It got stuck uh-oh,6,CG
1303.902432,1304.391749,Hmm,6,CG
1306.938879,1308.085087,uh-oh,6,CG
1311.027692,1312.039841,You need a haircut,6,CG
1317.301674,1318.561833,Uh-oh,6,CG
1320.847547,1323.501924,[imitates baby] look [name] these come off,6,CG
1328.281143,1328.643104,Yeah,6,CG
1354.127805,1356.547578,you want to take that one off you have to pull it,6,CG
1360.810669,1361.333501,[laugh],6,CG
1370.362405,1374.075851,What are we doing you want to play more,6,CG
1382.903666,1385.739024,oh my little munchkin,6,CG
1392.636382,1402.731059,no biting my shirt no no no biting no no you can play with this ok your teeth are giving you problems,6,CG
1404.815683,1407.496872,hey [babyname] do you want to do some crawling,6,CG
1411.404705,1420.768758,Yeah you want to say hi to Eeyore and to the kangaroo again where is the kangaroo there she is she has got a baby kangaroo,6,CG
600.264595,603.857388,(other),6,CG
618.469868,620.90975,(voc),6,CG
629.891733,631.554071,(voc),6,CG
637.07732,638.471538,(voc),6,CG
654.987663,655.711584,(voc),6,CG
661.583388,661.958754,(voc),6,CG
663.942834,664.45226,(voc),6,CG
665.685607,670.458123,(voc),6,CG
671.986401,672.469015,(voc),6,CG
678.608938,679.332859,(voc),6,CG
680.539394,682.845216,(voc),6,CG
697.404073,698.288865,(voc),6,CG
714.697742,719.63113,(voc),6,CG
723.438418,723.974656,(voc),6,CG
730.624005,733.332005,(voc),6,CG
749.231456,750.545239,(voc),6,CG
757.556548,760.841005,(voc),6,CG
764.32655,764.835976,(other),6,CG
773.455999,778.831783,(voc),6,CG
778.93903,781.91515,(other),6,CG
790.763074,793.390639,(voc),6,CG
805.871574,806.220129,(voc),6,CG
827.012749,827.964571,(voc),6,CG
830.954097,833.340355,(voc),6,CG
836.195822,837.898377,(voc),6,CG
839.734991,840.029922,(voc),6,CG
856.787353,858.382661,(voc),6,CG
859.870721,862.578721,(voc),6,CG
864.120405,865.005198,(voc),6,CG
865.179475,865.943614,(other),6,CG
871.051279,875.783577,(voc),6,CG
877.45932,877.848093,(voc),6,CG
880.314787,883.786927,(voc),6,CG
886.696017,893.318553,(voc),6,CG
893.318553,898.345783,(other),6,CG
903.279171,905.879924,(voc),6,CG
907.113271,912.676738,(voc),6,CG
924.272881,931.15013,(voc),6,CG
943.711501,944.448828,(voc),6,CG
949.636929,955.05293,(voc),6,CG
958.09608,958.565288,(voc),6,CG
960.897922,962.412794,(voc),6,CG
966.984221,973.07052,(voc),6,CG
996.36335,996.658281,(voc),6,CG
997.958657,998.206667,(voc),6,CG
999.889114,1000.137124,(voc),6,CG
